,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
0,29.779,-94.977,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,9.316666667,dtime
1,29.801,-94.994,77521,7/24/2019,16,CHEVROLET,MALIBU,2017,14.38333333,dtime
2,29.793,-94.98,77521,7/19/2019,16,CHEVROLET,MALIBU,2017,17.31666667,dtime
3,29.775,-94.978,77521,7/21/2019,16,CHEVROLET,MALIBU,2017,29.3,dtime
4,29.798,-94.985,77521,7/21/2019,16,CHEVROLET,MALIBU,2017,16.36666667,dtime
5,29.795,-94.978,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,6.966666667,dtime
6,29.776,-94.979,77521,7/26/2019,16,CHEVROLET,MALIBU,2017,9.716666667,dtime
7,29.801,-94.999,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,6.466666667,dtime
8,29.795,-94.978,77521,7/9/2019,16,CHEVROLET,MALIBU,2017,6,dtime
9,29.757,-94.957,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,13.3,dtime
10,29.811,-94.979,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,27.3,dtime
11,29.757,-94.957,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,9.45,dtime
12,29.78,-94.977,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,10.06666667,dtime
13,29.805,-94.983,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,11.66666667,dtime
14,29.776,-94.975,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,21.86666667,dtime
15,29.78,-94.977,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,18,dtime
16,29.816,-94.985,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,23.31666667,dtime
17,29.8,-95.001,77521,7/3/2019,16,CHEVROLET,MALIBU,2017,8.283333333,dtime
18,29.806,-94.98,77521,7/13/2019,16,CHEVROLET,MALIBU,2017,21.75,dtime
19,29.8,-95,77521,7/17/2019,16,CHEVROLET,MALIBU,2017,21.96666667,dtime
20,29.797,-94.981,77521,7/19/2019,16,CHEVROLET,MALIBU,2017,6.216666667,dtime
21,29.8,-95,77521,7/22/2019,16,CHEVROLET,MALIBU,2017,7.733333333,dtime
22,29.801,-95.001,77521,7/26/2019,16,CHEVROLET,MALIBU,2017,14.03333333,dtime
23,29.776,-94.979,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,7.45,dtime
24,29.76,-94.976,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,27.13333333,dtime
25,29.769,-94.968,77521,7/29/2019,16,CHEVROLET,MALIBU,2017,29.86666667,dtime
26,29.757,-94.964,77521,7/19/2019,16,CHEVROLET,MALIBU,2017,18.55,dtime
27,29.773,-94.977,77521,7/2/2019,16,CHEVROLET,MALIBU,2017,12.23333333,dtime
28,29.759,-94.971,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,8.383333333,dtime
29,29.774,-94.979,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,25.2,dtime
30,29.761,-94.976,77521,7/15/2019,16,CHEVROLET,MALIBU,2017,12.95,dtime
31,29.774,-94.978,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,7.383333333,dtime
32,29.773,-95.002,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,14.8,dtime
33,29.792,-94.982,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,12.46666667,dtime
34,29.775,-94.979,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,7.4,dtime
35,29.772,-94.978,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,21.41666667,dtime
36,29.795,-94.981,77521,7/7/2019,16,CHEVROLET,MALIBU,2017,19.2,dtime
37,29.793,-94.983,77521,7/7/2019,16,CHEVROLET,MALIBU,2017,6.616666667,dtime
38,29.797,-94.979,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,20.4,dtime
39,29.76,-94.952,77521,7/30/2019,16,CHEVROLET,MALIBU,2017,11.03333333,dtime
40,29.794,-94.917,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,21.73333333,dtime
41,29.775,-94.98,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,22.38333333,dtime
42,29.76,-94.976,77521,7/17/2019,16,CHEVROLET,MALIBU,2017,14,dtime
43,29.776,-94.979,77521,7/25/2019,16,CHEVROLET,MALIBU,2017,7.916666667,dtime
44,29.779,-94.976,77521,7/18/2019,16,CHEVROLET,MALIBU,2017,23.75,dtime
45,29.753,-94.968,77521,7/21/2019,16,CHEVROLET,MALIBU,2017,21.93333333,dtime
46,29.779,-94.976,77521,7/22/2019,16,CHEVROLET,MALIBU,2017,18.21666667,dtime
47,29.797,-94.979,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,11.51666667,dtime
48,29.776,-94.976,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,17.61666667,dtime
49,29.771,-94.994,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,6.883333333,dtime
50,29.766,-94.977,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,6.566666667,dtime
51,29.8,-94.915,77521,7/17/2019,16,CHEVROLET,MALIBU,2017,13.85,dtime
52,29.781,-94.977,77521,7/9/2019,16,CHEVROLET,MALIBU,2017,6.966666667,dtime
53,29.776,-94.975,77521,7/9/2019,16,CHEVROLET,MALIBU,2017,15.48333333,dtime
54,29.795,-94.982,77521,7/9/2019,16,CHEVROLET,MALIBU,2017,14.21666667,dtime
55,29.754,-94.972,77521,7/5/2019,16,CHEVROLET,MALIBU,2017,22.16666667,dtime
56,29.753,-94.978,77521,7/2/2019,16,CHEVROLET,MALIBU,2017,14.98333333,dtime
57,29.775,-94.98,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,24.35,dtime
58,29.774,-94.978,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,27,dtime
59,29.771,-94.977,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,24.26666667,dtime
60,29.775,-94.979,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,20.78333333,dtime
61,29.819,-94.993,77521,7/27/2019,16,CHEVROLET,MALIBU,2017,7.95,dtime
62,29.775,-94.98,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,13.06666667,dtime
63,29.773,-94.979,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,6.083333333,dtime
64,29.777,-94.976,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,13.08333333,dtime
65,29.752,-94.976,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,9.116666667,dtime
66,29.752,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,11.63333333,dtime
67,29.76,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,10.83333333,dtime
68,29.752,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,17.28333333,dtime
69,29.752,-94.976,77521,7/30/2019,16,CHEVROLET,MALIBU,2017,6.5,dtime
70,29.795,-94.981,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,22.13333333,dtime
71,29.775,-94.979,77521,7/21/2019,16,CHEVROLET,MALIBU,2017,11.38333333,dtime
72,29.8,-94.999,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,10.05,dtime
73,29.796,-94.978,77521,7/27/2019,16,CHEVROLET,MALIBU,2017,23.86666667,dtime
74,29.81,-94.983,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,24.53333333,dtime
75,29.776,-94.977,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,19.46666667,dtime
76,29.797,-94.979,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,23.65,dtime
77,29.777,-94.967,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,7.766666667,dtime
78,29.795,-94.978,77521,7/15/2019,16,CHEVROLET,MALIBU,2017,16.6,dtime
79,29.761,-94.965,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,28.25,dtime
80,29.806,-94.901,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,7.5,dtime
