,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
0,29.801,-94.998,77521,10/27/2019,12,CHEVROLET,MALIBU,2017,21.08333333,dtime
1,29.774,-94.979,77521,10/5/2019,12,CHEVROLET,MALIBU,2017,25.96666667,dtime
2,29.781,-94.979,77521,10/6/2019,12,CHEVROLET,MALIBU,2017,8.25,dtime
3,29.801,-94.994,77521,10/30/2019,12,CHEVROLET,MALIBU,2017,6.083333333,dtime
4,29.816,-94.989,77521,10/31/2019,12,CHEVROLET,MALIBU,2017,7.766666667,dtime
5,29.775,-94.979,77521,10/8/2019,12,CHEVROLET,MALIBU,2017,21.38333333,dtime
6,29.799,-94.98,77521,10/8/2019,12,CHEVROLET,MALIBU,2017,23.15,dtime
7,29.798,-94.975,77521,10/5/2019,12,CHEVROLET,MALIBU,2017,13.83333333,dtime
8,29.784,-94.979,77521,10/9/2019,12,CHEVROLET,MALIBU,2017,7.483333333,dtime
9,29.795,-94.979,77521,10/14/2019,12,CHEVROLET,MALIBU,2017,22.26666667,dtime
10,29.802,-94.994,77521,10/29/2019,12,CHEVROLET,MALIBU,2017,14.16666667,dtime
11,29.799,-94.98,77521,10/6/2019,12,CHEVROLET,MALIBU,2017,10.85,dtime
12,29.778,-94.98,77521,10/9/2019,12,CHEVROLET,MALIBU,2017,10.91666667,dtime
13,29.793,-94.982,77521,10/7/2019,12,CHEVROLET,MALIBU,2017,27.95,dtime
14,29.794,-94.982,77521,10/19/2019,12,CHEVROLET,MALIBU,2017,13.76666667,dtime
15,29.77,-94.982,77521,10/21/2019,12,CHEVROLET,MALIBU,2017,20.9,dtime
16,29.77,-94.982,77521,10/21/2019,12,CHEVROLET,MALIBU,2017,10.8,dtime
17,29.782,-94.964,77521,10/23/2019,12,CHEVROLET,MALIBU,2017,27.48333333,dtime
18,29.778,-94.98,77521,10/16/2019,12,CHEVROLET,MALIBU,2017,10.36666667,dtime
19,29.779,-94.976,77521,10/19/2019,12,CHEVROLET,MALIBU,2017,7.95,dtime
20,29.795,-94.982,77521,10/11/2019,12,CHEVROLET,MALIBU,2017,22.15,dtime
21,29.806,-94.977,77521,10/20/2019,12,CHEVROLET,MALIBU,2017,13.76666667,dtime
22,29.761,-94.981,77521,10/12/2019,12,CHEVROLET,MALIBU,2017,13.26666667,dtime
23,29.795,-94.982,77521,10/13/2019,12,CHEVROLET,MALIBU,2017,24.33333333,dtime
24,29.761,-94.981,77521,10/28/2019,12,CHEVROLET,MALIBU,2017,12.03333333,dtime
25,29.833,-94.907,77521,10/2/2019,12,CHEVROLET,MALIBU,2017,25.71666667,dtime
