,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
0,33.127,-96.891,75034,7/24/2019,13,CHEVROLET,MALIBU,2017,6.916666667,dtime
1,33.119,-96.804,75034,7/20/2019,13,CHEVROLET,MALIBU,2017,11.36666667,dtime
2,33.175,-96.86,75034,7/6/2019,13,CHEVROLET,MALIBU,2017,8.116666667,dtime
3,33.134,-96.822,75034,7/10/2019,13,CHEVROLET,MALIBU,2017,22.65,dtime
4,33.107,-96.811,75034,7/17/2019,13,CHEVROLET,MALIBU,2017,11.65,dtime
5,33.179,-96.887,75034,7/21/2019,13,CHEVROLET,MALIBU,2017,16.23333333,dtime
6,33.102,-96.803,75034,7/9/2019,13,CHEVROLET,MALIBU,2017,17.06666667,dtime
7,33.107,-96.807,75034,7/24/2019,13,CHEVROLET,MALIBU,2017,10.63333333,dtime
8,33.168,-96.83,75034,7/6/2019,13,CHEVROLET,MALIBU,2017,22.7,dtime
9,33.164,-96.868,75034,7/18/2019,13,CHEVROLET,MALIBU,2017,7.533333333,dtime
10,33.109,-96.806,75034,7/12/2019,13,CHEVROLET,MALIBU,2017,20.1,dtime
11,33.165,-96.916,75034,7/10/2019,13,CHEVROLET,MALIBU,2017,19.53333333,dtime
12,33.176,-96.888,75034,7/20/2019,13,CHEVROLET,MALIBU,2017,7.1,dtime
13,33.166,-96.892,75034,7/7/2019,13,CHEVROLET,MALIBU,2017,17.15,dtime
14,33.166,-96.895,75034,7/7/2019,13,CHEVROLET,MALIBU,2017,26.53333333,dtime
15,33.137,-96.803,75034,7/15/2019,13,CHEVROLET,MALIBU,2017,7.316666667,dtime
16,33.174,-96.845,75034,7/8/2019,13,CHEVROLET,MALIBU,2017,12.88333333,dtime
17,33.154,-96.85,75034,7/17/2019,13,CHEVROLET,MALIBU,2017,25.51666667,dtime
18,33.176,-96.825,75034,7/6/2019,13,CHEVROLET,MALIBU,2017,23.15,dtime
19,33.154,-96.832,75034,7/6/2019,13,CHEVROLET,MALIBU,2017,17.86666667,dtime
20,33.139,-96.929,75034,7/11/2019,13,CHEVROLET,MALIBU,2017,6.666666667,dtime
21,33.175,-96.839,75034,7/10/2019,13,CHEVROLET,MALIBU,2017,12.66666667,dtime
22,33.119,-96.804,75034,7/20/2019,13,CHEVROLET,MALIBU,2017,9.216666667,dtime
