,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
0,32.592,-96.945,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,8.566666667,dtime
1,32.593,-96.941,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,6.216666667,dtime
2,32.589,-96.943,75104,10/17/2019,17,CHEVROLET,MALIBU,2017,20.68333333,dtime
3,32.587,-96.929,75104,10/27/2019,17,CHEVROLET,MALIBU,2017,18.75,dtime
4,32.592,-96.936,75104,10/27/2019,17,CHEVROLET,MALIBU,2017,7.616666667,dtime
5,32.565,-96.967,75104,10/7/2019,17,CHEVROLET,MALIBU,2017,20.7,dtime
6,32.565,-96.967,75104,10/9/2019,17,CHEVROLET,MALIBU,2017,8,dtime
7,32.566,-96.968,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,11.51666667,dtime
8,32.591,-96.937,75104,10/25/2019,17,CHEVROLET,MALIBU,2017,29.03333333,dtime
9,32.602,-96.943,75104,10/10/2019,17,CHEVROLET,MALIBU,2017,17.03333333,dtime
10,32.596,-96.954,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,25.28333333,dtime
11,32.592,-96.939,75104,10/25/2019,17,CHEVROLET,MALIBU,2017,15.93333333,dtime
12,32.624,-96.955,75104,10/27/2019,17,CHEVROLET,MALIBU,2017,16.91666667,dtime
13,32.6,-96.945,75104,10/28/2019,17,CHEVROLET,MALIBU,2017,8.7,dtime
14,32.598,-96.916,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,6.116666667,dtime
15,32.602,-96.924,75104,10/7/2019,17,CHEVROLET,MALIBU,2017,18.48333333,dtime
16,32.57,-96.975,75104,10/24/2019,17,CHEVROLET,MALIBU,2017,8.816666667,dtime
17,32.6,-96.954,75104,10/11/2019,17,CHEVROLET,MALIBU,2017,16.7,dtime
18,32.603,-96.936,75104,10/25/2019,17,CHEVROLET,MALIBU,2017,24.9,dtime
19,32.584,-96.923,75104,10/15/2019,17,CHEVROLET,MALIBU,2017,7.766666667,dtime
20,32.593,-96.941,75104,10/12/2019,17,CHEVROLET,MALIBU,2017,18.35,dtime
21,32.618,-96.918,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,12.61666667,dtime
22,32.569,-96.921,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,12.48333333,dtime
23,32.628,-96.957,75104,10/17/2019,17,CHEVROLET,MALIBU,2017,14.28333333,dtime
24,32.569,-96.921,75104,10/30/2019,17,CHEVROLET,MALIBU,2017,18.3,dtime
25,32.604,-96.936,75104,10/9/2019,17,CHEVROLET,MALIBU,2017,16.55,dtime
26,32.603,-96.937,75104,10/13/2019,17,CHEVROLET,MALIBU,2017,13.18333333,dtime
27,32.598,-96.94,75104,10/28/2019,17,CHEVROLET,MALIBU,2017,24.05,dtime
28,32.591,-96.938,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,18.48333333,dtime
29,32.592,-96.935,75104,10/31/2019,17,CHEVROLET,MALIBU,2017,8.283333333,dtime
30,32.602,-96.941,75104,10/4/2019,17,CHEVROLET,MALIBU,2017,20.1,dtime
31,32.603,-96.944,75104,10/27/2019,17,CHEVROLET,MALIBU,2017,9.016666667,dtime
32,32.592,-96.936,75104,10/8/2019,17,CHEVROLET,MALIBU,2017,16.48333333,dtime
33,32.603,-96.944,75104,10/8/2019,17,CHEVROLET,MALIBU,2017,8.766666667,dtime
34,32.592,-96.938,75104,10/14/2019,17,CHEVROLET,MALIBU,2017,20.96666667,dtime
35,32.6,-96.937,75104,10/25/2019,17,CHEVROLET,MALIBU,2017,12.35,dtime
36,32.617,-96.946,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,7.416666667,dtime
37,32.617,-96.947,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,13.05,dtime
38,32.572,-97.011,75104,10/5/2019,17,CHEVROLET,MALIBU,2017,7.366666667,dtime
39,32.591,-96.942,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,13.41666667,dtime
40,32.602,-96.941,75104,10/15/2019,17,CHEVROLET,MALIBU,2017,20.58333333,dtime
41,32.594,-96.937,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,27.46666667,dtime
42,32.597,-96.946,75104,10/12/2019,17,CHEVROLET,MALIBU,2017,26.41666667,dtime
43,32.597,-96.946,75104,10/12/2019,17,CHEVROLET,MALIBU,2017,20.38333333,dtime
44,32.541,-97.001,75104,10/15/2019,17,CHEVROLET,MALIBU,2017,8.133333333,dtime
45,32.621,-96.91,75104,10/26/2019,17,CHEVROLET,MALIBU,2017,25,dtime
46,32.586,-96.951,75104,10/30/2019,17,CHEVROLET,MALIBU,2017,23.05,dtime
47,32.59,-96.942,75104,10/10/2019,17,CHEVROLET,MALIBU,2017,13.63333333,dtime
48,32.605,-96.942,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,9.233333333,dtime
49,32.572,-96.956,75104,10/18/2019,17,CHEVROLET,MALIBU,2017,27.7,dtime
50,32.589,-96.924,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,22.38333333,dtime
51,32.591,-96.925,75104,10/14/2019,17,CHEVROLET,MALIBU,2017,8.383333333,dtime
52,32.589,-96.925,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,8.783333333,dtime
53,32.614,-96.954,75104,10/10/2019,17,CHEVROLET,MALIBU,2017,7.766666667,dtime
54,32.614,-96.954,75104,10/14/2019,17,CHEVROLET,MALIBU,2017,28.15,dtime
55,32.614,-96.954,75104,10/16/2019,17,CHEVROLET,MALIBU,2017,22.03333333,dtime
56,32.607,-96.95,75104,10/16/2019,17,CHEVROLET,MALIBU,2017,17.85,dtime
57,32.614,-96.954,75104,10/30/2019,17,CHEVROLET,MALIBU,2017,18.26666667,dtime
58,32.602,-96.937,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,12.55,dtime
59,32.546,-97.013,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,29.91666667,dtime
60,32.599,-96.941,75104,10/20/2019,17,CHEVROLET,MALIBU,2017,15.63333333,dtime
61,32.602,-96.944,75104,10/20/2019,17,CHEVROLET,MALIBU,2017,7.633333333,dtime
62,32.593,-96.937,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,21.01666667,dtime
63,32.603,-96.936,75104,10/2/2019,17,CHEVROLET,MALIBU,2017,7.533333333,dtime
64,32.596,-96.937,75104,10/5/2019,17,CHEVROLET,MALIBU,2017,7.05,dtime
65,32.62,-96.91,75104,10/6/2019,17,CHEVROLET,MALIBU,2017,13.71666667,dtime
66,32.651,-96.974,75104,10/17/2019,17,CHEVROLET,MALIBU,2017,14.53333333,dtime
67,32.589,-96.924,75104,10/28/2019,17,CHEVROLET,MALIBU,2017,9.483333333,dtime
68,32.618,-96.91,75104,10/4/2019,17,CHEVROLET,MALIBU,2017,10.3,dtime
69,32.592,-96.938,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,6.233333333,dtime
70,32.618,-96.91,75104,10/31/2019,17,CHEVROLET,MALIBU,2017,21.48333333,dtime
71,32.6,-96.945,75104,10/4/2019,17,CHEVROLET,MALIBU,2017,12.23333333,dtime
72,32.574,-96.951,75104,10/1/2019,17,CHEVROLET,MALIBU,2017,13.93333333,dtime
73,32.598,-96.94,75104,10/15/2019,17,CHEVROLET,MALIBU,2017,6.866666667,dtime
74,32.59,-96.945,75104,10/18/2019,17,CHEVROLET,MALIBU,2017,8.283333333,dtime
75,32.59,-96.945,75104,10/29/2019,17,CHEVROLET,MALIBU,2017,6.75,dtime
76,32.604,-96.936,75104,10/6/2019,17,CHEVROLET,MALIBU,2017,18.95,dtime
77,32.602,-96.942,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,9.65,dtime
78,32.598,-96.946,75104,10/5/2019,17,CHEVROLET,MALIBU,2017,10.75,dtime
79,32.589,-96.924,75104,10/13/2019,17,CHEVROLET,MALIBU,2017,16.1,dtime
80,32.589,-96.924,75104,10/23/2019,17,CHEVROLET,MALIBU,2017,10.9,dtime
81,32.603,-96.921,75104,10/23/2019,17,CHEVROLET,MALIBU,2017,21.45,dtime
82,32.603,-96.921,75104,10/24/2019,17,CHEVROLET,MALIBU,2017,11.11666667,dtime
83,32.6,-96.937,75104,10/30/2019,17,CHEVROLET,MALIBU,2017,26.8,dtime
84,32.589,-96.944,75104,10/9/2019,17,CHEVROLET,MALIBU,2017,6.75,dtime
85,32.589,-96.944,75104,10/9/2019,17,CHEVROLET,MALIBU,2017,7.1,dtime
86,32.589,-96.944,75104,10/30/2019,17,CHEVROLET,MALIBU,2017,11.36666667,dtime
87,32.572,-96.92,75104,10/26/2019,17,CHEVROLET,MALIBU,2017,25.56666667,dtime
88,32.621,-96.911,75104,10/5/2019,17,CHEVROLET,MALIBU,2017,17.81666667,dtime
89,32.576,-96.93,75104,10/10/2019,17,CHEVROLET,MALIBU,2017,29.91666667,dtime
90,32.6,-96.937,75104,10/18/2019,17,CHEVROLET,MALIBU,2017,29.3,dtime
91,32.592,-96.946,75104,10/28/2019,17,CHEVROLET,MALIBU,2017,29.98333333,dtime
92,32.596,-96.937,75104,10/28/2019,17,CHEVROLET,MALIBU,2017,27.68333333,dtime
93,32.603,-96.916,75104,10/19/2019,17,CHEVROLET,MALIBU,2017,20.93333333,dtime
94,32.598,-96.94,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,8.15,dtime
95,32.582,-96.958,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,7.916666667,dtime
96,32.59,-96.941,75104,10/21/2019,17,CHEVROLET,MALIBU,2017,6.866666667,dtime
